n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
  35  cav        7.20000        1.24579        0.26761        0.17600        0.17679        0.50286        0.53379        3.93337       17.34035        0.00385           0.11277             0.18781             0.22932             0.11286             0.18782             0.22386             2.31709             4.69911             7.85804          0.00991        0.22921       -0.03591       -0.07168        0.05167        4.17145       -0.34339        0.05677       -0.34028        0.05723       -0.48089          11.34498              0.0        100001.0
  36  drift      7.86000        1.24579        0.26770        0.32569        0.32513        0.91246        0.91854        3.69334       14.34093        0.00380           0.11280             0.18789             0.23254             0.11288             0.18806             0.22685             2.31603             4.68156             7.84181          0.02505        0.22934       -0.04065       -0.07202        0.05167        2.52863       -1.74864        0.19434       -1.73210        0.19353        0.24935          10.00720              0.0        100001.0
  37  drift      7.94000        1.24579        0.26772        0.34946        0.34873        0.98172        0.97639        3.77391       14.10350        0.00381           0.11281             0.18776             0.23267             0.11289             0.18823             0.22706             2.31618             4.68845             7.85336          0.02688        0.22937       -0.04122       -0.07207        0.05167        2.32949       -1.92306        0.22373       -1.90483        0.22264        0.33484          10.44789              0.0        100001.0
  38  sol3d      8.34000        1.24579        0.26773        0.36696        0.36609        1.00785        1.04478        4.45407       13.49004        0.00385           0.11341             0.18815             0.23344             0.11218             0.18790             0.23754             2.31425             4.68490             7.86058          0.00709        0.33436       -0.03844        0.55984        0.05167        1.36909        1.44279        0.24539        1.46257        0.24692        0.76347          14.56540              0.0        100001.0
  39  drift      8.40000        1.24579        0.26772        0.35415        0.35323        0.97588        1.00509        4.58950       13.54060        0.00386           0.11341             0.18828             0.23359             0.11218             0.18790             0.23784             2.31424             4.68125             7.85445          0.00910        0.33436       -0.03508        0.55981        0.05167        1.21925        1.36323        0.22856        1.38204        0.22986        0.82905          15.46463              0.0        100001.0
  40  cav        8.76000        1.39094        0.48675        0.30266        0.30169        0.85094        0.83317        4.65727       14.61914        0.00360           0.11311             0.18748             0.23231             0.11198             0.18737             0.23018             2.39829             5.53496            12.55092          0.02059        0.30880       -0.01591        0.44902        0.05454        0.00677        0.11586        0.17667        0.12317        0.17731       -0.86441          17.11967              0.0        100001.0
  41  drift      8.84000        1.39094        0.48675        0.30145        0.30038        0.85222        0.82233        4.49528       14.39332        0.00358           0.11311             0.18744             0.23198             0.11197             0.18722             0.22972             2.39785             5.52827            12.50739          0.02306        0.30882       -0.01232        0.44901        0.05454       -0.33890        0.06424        0.17525        0.07159        0.17578       -0.78598          15.95238              0.0        100001.0
  42  sol3d      9.24000        1.39094        0.48676        0.26661        0.26608        0.76431        0.74447        3.85657       13.29000        0.00353           0.11303             0.18735             0.22224             0.11199             0.18814             0.22888             2.39349             5.47513            12.24862          0.02832        0.21439       -0.01019        0.25925        0.05454       -2.05648        0.81063        0.13719        0.82393        0.13791       -0.40027          11.76264              0.0        100001.0
  43  drift      9.30000        1.39094        0.48674        0.25747        0.25685        0.73913        0.72531        3.79126       13.12863        0.00352           0.11302             0.18745             0.22210             0.11198             0.18812             0.22858             2.39287             5.46986            12.20951          0.02961        0.21441       -0.00863        0.25924        0.05454       -2.31541        0.73337        0.12794        0.74607        0.12852       -0.34292          11.37062              0.0        100001.0
  44  cav        9.66000        1.48640        0.49340        0.22475        0.22369        0.66166        0.63660        3.30520       11.24600        0.00417           0.11310             0.18781             0.22226             0.11206             0.18806             0.22906             2.41265             5.73120            13.42201          0.03799        0.29064        0.00140        0.28474        0.05638       -3.81504        0.02079        0.10072        0.02911        0.10070       -0.57706           9.15874              0.0        100001.0
